,patient,question,l_prompt,n_passages
0,patient_01,0,2782,10
1,patient_01,0,6896,25
2,patient_01,0,47932,10000
3,patient_01,1,3379,10
4,patient_01,1,8331,25
5,patient_01,1,9096,10000
6,patient_01,2,2714,10
7,patient_01,2,5866,25
8,patient_01,2,34701,10000
9,patient_01,3,4735,10
10,patient_01,3,8469,25
11,patient_01,3,48028,10000
12,patient_01,4,1218,10
13,patient_01,4,1218,25
14,patient_01,4,1218,10000
15,patient_01,5,3419,10
16,patient_01,5,7151,25
17,patient_01,5,27655,10000
18,patient_01,6,3109,10
19,patient_01,6,6952,25
20,patient_01,6,7191,10000
21,patient_01,7,1474,10
22,patient_01,7,1474,25
23,patient_01,7,1474,10000
24,patient_01,8,5582,10
25,patient_01,8,9465,25
26,patient_01,8,54898,10000
27,patient_01,9,4523,10
28,patient_01,9,7697,25
29,patient_01,9,7895,10000
30,patient_01,10,3597,10
31,patient_01,10,9614,25
32,patient_01,10,28532,10000
33,patient_01,11,3079,10
34,patient_01,11,6299,25
35,patient_01,11,33911,10000
36,patient_01,12,2992,10
37,patient_01,12,8877,25
38,patient_01,12,37721,10000
39,patient_01,13,4079,10
40,patient_01,13,7843,25
41,patient_01,13,44593,10000
42,patient_01,14,3182,10
43,patient_01,14,6498,25
44,patient_01,14,26965,10000
45,patient_01,15,3139,10
46,patient_01,15,6677,25
47,patient_01,15,34729,10000
48,patient_01,16,3801,10
49,patient_01,16,7879,25
50,patient_01,16,23051,10000
51,patient_01,17,4115,10
52,patient_01,17,7953,25
53,patient_01,17,25471,10000
54,patient_01,18,5999,10
55,patient_01,18,9515,25
56,patient_01,18,19516,10000
57,patient_01,19,3244,10
58,patient_01,19,6401,25
59,patient_01,19,31362,10000
60,patient_02,0,3132,10
61,patient_02,0,8518,25
62,patient_02,0,18949,10000
63,patient_02,1,4164,10
64,patient_02,1,4756,25
65,patient_02,1,4756,10000
66,patient_02,2,3066,10
67,patient_02,2,7042,25
68,patient_02,2,31274,10000
69,patient_02,3,3213,10
70,patient_02,3,7180,25
71,patient_02,3,46776,10000
72,patient_02,4,7461,10
73,patient_02,4,10997,25
74,patient_02,4,53460,10000
75,patient_02,5,2980,10
76,patient_02,5,6224,25
77,patient_02,5,6224,10000
78,patient_02,6,4604,10
79,patient_02,6,7890,25
80,patient_02,6,38037,10000
81,patient_02,7,3913,10
82,patient_02,7,9093,25
83,patient_02,7,47474,10000
84,patient_02,8,3582,10
85,patient_02,8,7926,25
86,patient_02,8,35569,10000
87,patient_02,9,3511,10
88,patient_02,9,4148,25
89,patient_02,9,4148,10000
90,patient_02,10,1746,10
91,patient_02,10,1746,25
92,patient_02,10,1746,10000
93,patient_02,11,4012,10
94,patient_02,11,7867,25
95,patient_02,11,15489,10000
96,patient_02,12,3242,10
97,patient_02,12,6744,25
98,patient_02,12,9159,10000
99,patient_02,13,3387,10
100,patient_02,13,6881,25
101,patient_02,13,29504,10000
102,patient_02,14,3088,10
103,patient_02,14,9243,25
104,patient_02,14,49206,10000
105,patient_02,15,3623,10
106,patient_02,15,6961,25
107,patient_02,15,11806,10000
108,patient_02,16,3440,10
109,patient_02,16,6967,25
110,patient_02,16,25570,10000
111,patient_02,17,3645,10
112,patient_02,17,3645,25
113,patient_02,17,3645,10000
114,patient_02,18,3468,10
115,patient_02,18,6804,25
116,patient_02,18,22977,10000
117,patient_02,19,6164,10
118,patient_02,19,12346,25
119,patient_02,19,31094,10000
120,patient_03,0,3032,10
121,patient_03,0,7912,25
122,patient_03,0,20653,10000
123,patient_03,1,4088,10
124,patient_03,1,13239,25
125,patient_03,1,14342,10000
126,patient_03,2,7004,10
127,patient_03,2,10792,25
128,patient_03,2,18822,10000
129,patient_03,3,3198,10
130,patient_03,3,8017,25
131,patient_03,3,30640,10000
132,patient_03,4,3361,10
133,patient_03,4,7211,25
134,patient_03,4,55205,10000
135,patient_03,5,3966,10
136,patient_03,5,7432,25
137,patient_03,5,24372,10000
138,patient_03,6,6554,10
139,patient_03,6,9556,25
140,patient_03,6,9556,10000
141,patient_03,7,4945,10
142,patient_03,7,12069,25
143,patient_03,7,14176,10000
144,patient_03,8,4285,10
145,patient_03,8,8226,25
146,patient_03,8,28958,10000
147,patient_03,9,6169,10
148,patient_03,9,10772,25
149,patient_03,9,31150,10000
150,patient_03,10,2727,10
151,patient_03,10,5607,25
152,patient_03,10,16351,10000
153,patient_03,11,4950,10
154,patient_03,11,11234,25
155,patient_03,11,42970,10000
156,patient_03,12,4426,10
157,patient_03,12,9078,25
158,patient_03,12,26645,10000
159,patient_03,13,6214,10
160,patient_03,13,10375,25
161,patient_03,13,38398,10000
162,patient_03,14,4044,10
163,patient_03,14,7798,25
164,patient_03,14,13374,10000
165,patient_03,15,2890,10
166,patient_03,15,7745,25
167,patient_03,15,42246,10000
168,patient_03,16,3389,10
169,patient_03,16,7018,25
170,patient_03,16,31168,10000
171,patient_03,17,5348,10
172,patient_03,17,7034,25
173,patient_03,17,7034,10000
174,patient_03,18,5206,10
175,patient_03,18,8732,25
176,patient_03,18,39755,10000
177,patient_03,19,6302,10
178,patient_03,19,10329,25
179,patient_03,19,16117,10000
180,patient_04,0,3429,10
181,patient_04,0,6871,25
182,patient_04,0,32080,10000
183,patient_04,1,3604,10
184,patient_04,1,7514,25
185,patient_04,1,13167,10000
186,patient_04,2,3129,10
187,patient_04,2,6529,25
188,patient_04,2,31374,10000
189,patient_04,3,3222,10
190,patient_04,3,6499,25
191,patient_04,3,19112,10000
192,patient_04,4,3609,10
193,patient_04,4,7243,25
194,patient_04,4,26613,10000
195,patient_04,5,3047,10
196,patient_04,5,6774,25
197,patient_04,5,33938,10000
198,patient_04,6,3180,10
199,patient_04,6,6549,25
200,patient_04,6,15358,10000
201,patient_04,7,3724,10
202,patient_04,7,7287,25
203,patient_04,7,14559,10000
204,patient_04,8,1538,10
205,patient_04,8,1538,25
206,patient_04,8,1538,10000
207,patient_04,9,2960,10
208,patient_04,9,6574,25
209,patient_04,9,47621,10000
210,patient_04,10,6547,10
211,patient_04,10,10330,25
212,patient_04,10,49943,10000
213,patient_04,11,3515,10
214,patient_04,11,6946,25
215,patient_04,11,7554,10000
216,patient_04,12,5012,10
217,patient_04,12,9579,25
218,patient_04,12,47705,10000
219,patient_04,13,3251,10
220,patient_04,13,8109,25
221,patient_04,13,55423,10000
222,patient_04,14,3506,10
223,patient_04,14,8913,25
224,patient_04,14,38127,10000
225,patient_04,15,2853,10
226,patient_04,15,5532,25
227,patient_04,15,5532,10000
228,patient_04,16,1116,10
229,patient_04,16,1116,25
230,patient_04,16,1116,10000
231,patient_04,17,3613,10
232,patient_04,17,7347,25
233,patient_04,17,36936,10000
234,patient_04,18,4638,10
235,patient_04,18,7967,25
236,patient_04,18,42510,10000
237,patient_04,19,3212,10
238,patient_04,19,6778,25
239,patient_04,19,25083,10000
240,patient_05,0,3096,10
241,patient_05,0,6161,25
242,patient_05,0,24824,10000
243,patient_05,1,3175,10
244,patient_05,1,7325,25
245,patient_05,1,26627,10000
246,patient_05,2,3227,10
247,patient_05,2,8728,25
248,patient_05,2,39026,10000
249,patient_05,3,3218,10
250,patient_05,3,5996,25
251,patient_05,3,5996,10000
252,patient_05,4,3225,10
253,patient_05,4,6815,25
254,patient_05,4,31703,10000
255,patient_05,5,3594,10
256,patient_05,5,7411,25
257,patient_05,5,19899,10000
